date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:35:20	148278/148278	---M--	200	added ('OK')	image/jpeg	etag:%2207ac16c69875afb29f1797fd6b067832%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_mumabiandtirmasuandmain.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_mumabiandtirmasuandmain.jpg	(from http://www.sunnsandhotel.com/promotions.htm)
15:35:27	277772/277772	---M--	200	added ('OK')	image/jpeg	etag:%2276bc7d2a2f8e7738de0d6ec2f18b35bd%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_safteyandmeasuresandresturanrs.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_safteyandmeasuresandresturanrs.jpg	(from http://www.sunnsandhotel.com/promotions.htm)
15:35:43	184323/184323	---M--	200	added ('OK')	image/jpeg	etag:%22f10013447dbe3d9bbb62d88b52cfb9c3%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_specialanddishandsunandnsandmubai.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_specialanddishandsunandnsandmubai.jpg	(from http://www.sunnsandhotel.com/promotions.htm)
15:36:09	319274/319274	---M--	200	added ('OK')	image/jpeg	etag:%22f6702b9ad4772bc8604cba311808de73%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_mumbaithirpuripropermotion.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_mumbaithirpuripropermotion.jpg	(from http://www.sunnsandhotel.com/promotions.htm)
15:36:27	287949/287949	---M--	200	added ('OK')	image/jpeg	etag:%221243df404a634e50410e624c92024716%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_reviewandmain.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_reviewandmain.jpg	(from http://www.sunnsandhotel.com/promotions.htm)
15:36:53	592817/592817	---M--	200	added ('OK')	image/jpeg	etag:%22883f6659207822757362ac006be8bda8%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_Workation11.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_Workation11.jpg	(from http://www.sunnsandhotel.com/promotions.htm)
15:37:09	422663/422663	---M--	200	added ('OK')	image/jpeg	etag:%22428369aca01317c538ecdf88393e885d%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_hotelmains.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_hotelmains.jpg	(from http://www.sunnsandhotel.com/promotions.htm)
15:37:25	400156/400156	---M--	200	added ('OK')	image/jpeg	etag:%22f6230d5f9f509604a3d12d2dc171829d%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_chocaltemainwe.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_chocaltemainwe.jpg	(from http://www.sunnsandhotel.com/promotions.htm)
15:37:54	401458/401458	---M--	200	added ('OK')	image/jpeg	etag:%22b4e2d4f4fed7322f95ff838ce5cede3c%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_chienkormamains.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_chienkormamains.jpg	(from http://www.sunnsandhotel.com/promotions.htm)
15:38:19	461117/461117	---M--	200	added ('OK')	image/jpeg	etag:%225d5b86caa96d85efe080e702efabf28b%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_minesandok.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_minesandok.jpg	(from http://www.sunnsandhotel.com/promotions.htm)
